id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
15197,,37.331764,-122.011635,Cupertino Ridge View,outside,3.05,100.0,37.77777777777778,9.0,1008.48,,,,,,,,,,,,,2020-10-15 20:29:43,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,3.64,3.73,3.34,4.21,6.93,22.03
54601,,37.319762,-122.067433,"Cupertino, Foothill & Stevens Creek",outside,3.6,91.0,32.77777777777778,12.0,1002.96,,,,,,,,,,,,,2020-10-15 20:31:32,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,3.76,3.26,2.7,3.0,5.68,19.42
28633,,37.321227,-122.067102,Cupertino-Los Altos Hills,outside,3.18,97.0,36.111111111111114,14.0,1001.71,,,,,,,,,,,,,2020-10-15 20:29:57,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,3.68,3.27,2.77,3.11,5.71,21.24
64723,,37.590779,-122.319736,CuriOdyssey at Coyote Point,outside,2.31,89.0,31.666666666666668,13.0,1014.44,,,,,,,,,,,,,2020-10-15 20:30:58,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,2.09,2.2,2.78,6.07,8.17,19.31
65605,,37.590711,-122.319876,CuriOdyssey Indoor Museum,inside,2.39,86.0,30.0,18.0,1014.41,,,,,,,,,,,,,2020-10-15 20:31:37,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,2.44,2.48,2.74,4.51,5.71,18.39
65551,,37.589716,-122.32035,CuriOdyssey Wildlife Keeper Building,inside,2.81,84.0,28.88888888888889,19.0,1014.92,,,,,,,,,,,,,2020-10-15 20:30:18,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.63,2.62,3.07,5.87,9.51,24.44
71165,,38.438066,-122.66158,Curious,inside,53.82,69.0,20.555555555555557,49.0,1007.05,,,,,,,,,,,,,2020-10-09 02:20:57,PMS5003+PMS5003+BME280,,,False,False,False,9730,,,,,,,False,20.77,20.92,26.39,33.5,12.97,2.11
53065,,-25.444705,-49.271677,Curitiba,outside,3.11,72.0,22.22222222222222,58.0,914.75,,,,,,,,,,,,,2020-10-15 20:30:11,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,3.58,4.7,6.07,10.98,15.81,19.39
76923,,37.865457,-122.288533,Curtis,inside,3.19,81.0,27.222222222222225,35.0,1014.27,,,,,,,,,,,,,2020-10-15 20:31:23,PMS5003+PMS5003+BME280,,,False,True,False,0,,,,,,,False,4.01,4.74,5.41,7.73,6.83,2.75
34037,,37.964249,-120.308943,Curtis Creek Elementary School,outside,31.29,96.0,35.55555555555556,17.0,936.98,,,,,,,,,,,,,2020-10-15 20:31:23,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,34.03,39.31,42.49,28.25,15.96,42.44
